Café/Restaurant Name,Street Address,Post Code,Number of Chairs,
All Bar One,27 East Parade,LS1 5BN,20,
All Bar One,"Unit D Electric Press, 4 Millenium Square",LS2 3AD,140,
Bagel Nash,34 St. Pauls Street,LS1 2AT,14,
Bagel Nash,18 Swan Street,LS1 6AZ,18,
Barburrito,62 The Headrow,LS1 8EQ,8,
Bella Italia,145 Briggate,LS1 6BR,32,
Becketts Bank (Wetherspoons),28 - 30 Park Row,LS1 5HU,6,
Bean on the Run,Fish Street,LS1 6DB,20,
BHS,49 Boar Lane,LS1 5EL,6,
Black House Grill,31 - 33 East Parade,LS1 5PS,60,
Blayds Bar ,3-7 Blayds Yard,LS1 4AD,16,
Browns,"70 - 72 The Headrow, The Light",LS1 8EQ,20,
Byron,9A Lands Lane,LS1 6AW,42,
Caffé Nero (Albion Place side),19 Albion Place,LS1 6JS,20,
Caffe Nero (Albion Street side),19 Albion Place,LS1 6JS,16,
Caffe Nero (Bond Street side),19 Albion Place,LS1 6JS,22,
Carluccios,5 Greek Street,LS1 5SX,18,
Cattle Grid,"Waterloo House, Assembly Street",LS2 7DB,20,
Chilli White,Assembly Street,LS2 7DA,51,
Costa Coffee Albion Place,12A Assembly Street,LS1 6JF,28,
Costa Coffee Bond Court,2 Bond Court,LS1 2JY,30,
