Café/Restaurant Name,Street Address,Post Code,Number of Chairs,
All Bar One,27 East Parade,LS1 5BN,20,
All Bar One,"Unit D Electric Press, 4 Millenium Square",LS2 3AD,140,
Bagel Nash,34 St. Pauls Street,LS1 2AT,14,
Bagel Nash,18 Swan Street,LS1 6AZ,18,
Barburrito,62 The Headrow,LS1 8EQ,8,
Bella Italia,145 Briggate,LS1 6BR,32,
Becketts Bank (Wetherspoons),28 - 30 Park Row,LS1 5HU,6,
Bean on the Run,Fish Street,LS1 6DB,20,
BHS,49 Boar Lane,LS1 5EL,6,
Black House Grill,31 - 33 East Parade,LS1 5PS,60,
Blayds Bar ,3-7 Blayds Yard,LS1 4AD,16,
Browns,"70 - 72 The Headrow, The Light",LS1 8EQ,20,
Byron,9A Lands Lane,LS1 6AW,42,
Caffé Nero (Albion Place side),19 Albion Place,LS1 6JS,20,
Caffe Nero (Albion Street side),19 Albion Place,LS1 6JS,16,
Caffe Nero (Bond Street side),19 Albion Place,LS1 6JS,22,
Carluccios,5 Greek Street,LS1 5SX,18,
Cattle Grid,"Waterloo House, Assembly Street",LS2 7DB,20,
Chilli White,Assembly Street,LS2 7DA,51,
Costa Coffee Albion Place,12A Assembly Street,LS1 6JF,28,
Costa Coffee Bond Court,2 Bond Court,LS1 2JY,30,
Costa Coffee Briggate,133 Briggate,LS1 6BR,16,
Cuthbert Brodrick (Wetherspoons),99 Portland Crescent,LS1 3HJ,66,
Gourmet Burger Kitchen,"Minerva House, 29 East Parade",LS1 5PS,20,
"Greggs, Briggate","Unit, 7 Central Arcade",LS1 6DX,4,
Heaven,Lands Lane,LS1 6LB,16,
Hotel Chocolat,55 Boar Lane,LS1 5EL,12,
Hourglass,157 - 158 Lower Briggate,LS1 6BG,10,
Jamie's Italian,35 Park Row,LS1 5JL,32,
La Bottega Milanese (Bond Court),2 Bond Court,LS1 2JZ,16,
La Strega,6 Fish Street,LS1 6DB,12,
Las Iguanas,3 Cloth Hall St,LS1 2HD,4,
Leeds Tapped,51 Boar Ln,LS1 5EL,10,
Little Tokyo,24 Central Rd,LS1 6DE,24,
Loch Fyne Restaurant,"The Old Post Office, 2 City Square",LS1 2ES,72,
Miller & Carter ,56 - 58 The Headrow,LS1 8TL,12,
Mojo,18 Merrion Street,LS1 6PQ,21,
Mook,3 - 5 Hirst's Yard,LS1 6NJ,15,
Mrs Atha's ,Central Road,LS1 6DE,12,
Norman Bar,36 Call Lane,LS1 6DT,24,
Pasta Romagna,26 Albion Place,LS1 6JS,48,
Patisserie Valerie,50A Albion Street,LS1 6AD,8,
Peachy Keens,Electric Press Building,LS2 3AD,96,
Piccolino,11 - 12 Park Row,LS1 5HD,16,
Pizza Express,4 Albion Place,LS1 6JL,24,
"Pret a Manger, Bond St",32 Bond St,LS1 5BQ,12,
"Pret a Manger, Lands Lane",6 Lands Lane,LS1 6AW,44,
Primo's Gourmet Hot Dogs,"Unit 12 A/B, The Concourse Corn Exchange",LS1 7BR,16,
Prohibition,"Regents Court, 39A Harrogate Road",LS7 3PD,32,
Radisson Hotel,"1 The Light, The Headrow",LS1 8TL,30,
Reds Barbecue,1 Cloth Hall Street,LS1 2HD,40,
Reform,12 - 14 Merrion Street,LS1 6PQ,24,
Restaurant Bar and Grill,"The Old Post Office, 3 City Square ",LS1 2AN,152,
Revolution,41 Cookridge Street,LS2 3AW,84,
Safran,81 Kirkgate,LS2 7DJ,6,
San Co Co,12 New Briggate,LS1 6NU,6,
Sandinista,5 Cross Belgrave Street,LS2 8JP,18,
Scarbrough Hotel,Bishopgate Street,LS1 5DY,24,
Slug & Lettuce,14 Park Row,LS1 5HU,14,
Souvlaki restaurant and Bar,18 Great George Street,LS1 3DW,6,
"Starbucks, Albion Street",48 Albion Street,LS1 6AA,21,
"Starbucks, Briggate",80 Briggate,LS1 6LQ,2,
"Starbucks, Headrow",13 The Headrow,LS1 8EQ,8,
The Adelphi,3 - 5 Hunslet Road,LS10 1JQ,35,
The New Conservatory,Albion Place,LS1 6JL,12,
The Picture House,82 - 90 Merrion Street,LS2 8LW,20,
The Pit,9 Merrion Street,LS1 6PQ,64,*16 Benches Seating 64
The White Swan,5 Swan Street,LS1 6LG,28,
The Wrens Hotel,61A New Briggate,LS2 8JD,20,
Tiger Tiger,117 Albion St,LS2 8DY,118,
Town Hall Tavern,17 Westgate ,LS1 2RA,16,
Verve,16 Merrion Street,LS1 6PQ,24,
Zizzi Restaurant,2 Cloth Hall Street,LS1 2HD,6,
